Question,Answer
What is the minimum eligibility for regular admission to B.Sc/B.A programs at SRMIST?,Candidates must pass 10+2 or equivalent with relevant subjects. Minimum aggregate marks vary by department.
Is there an entrance exam for UG Science and Humanities admissions?,"Yes, SRMJEEE or any other recognized entrance exam like JEE Main, NEET, SAT can be used."
Can diploma holders apply directly to the second year of UG programs?,"Yes, through lateral entry if they have completed a 3-year diploma after 10th or 2-year study after 10+2."
In which semester do lateral entry students get admitted?,Lateral entry students are admitted directly into the 3rd semester (Second Year).
Is a medical certificate required during admission?,"Yes, a medical certificate is required as part of the admission criteria."
How are seats allocated for UG programs at SRMIST?,Seats are allocated based on merit list derived from SRMJEEE scores during counseling.
Who makes the final decision on admissions?,The Admission Committee has the final authority on all admission decisions. | Admission Committee
"How many total credits are required for a Certificate, Diploma, and Bachelor’s Degree?","Certificate: 40 credits, Diploma: 80 credits, Bachelor’s Degree: 120 credits."
What are the exit options after completing one year?,Students can exit with a Certificate – Basic Sciences/Humanities after Year 1.
What are the exit options after two years of study?,"After two years, students can earn a Diploma – Advanced Sciences/Humanities."
What degree is awarded after completing three years?,A B.Sc or B.A degree is awarded after completing three years of study.
What are the categories of courses in the curriculum?,"Course categories include Humanities & Social Sciences (H), Basic Science (B), Professional Core (C), Professional Elective (E), Open Elective (O), Project/Internship (P), and Non-Credit Mandatory (M) courses."
How many semesters are there in a year?,There are 2 semesters per academic year.
How many working days are there in a semester?,Each semester consists of 90 working days.
How many hours does each semester involve?,Each semester involves approximately 450 hours of academic work.
What is the maximum duration allowed for regular students to complete a bachelor's degree?,Regular students have up to 6 semesters (3 years) to complete a bachelor's degree.
What is the maximum time allowed for lateral entry students?,Lateral entry students have up to 4 semesters (2 years) to complete their degree. | Lateral entry students have up to 10 semesters (5 years) to complete their degree.
What is the minimum attendance required in each course?,Students must maintain a minimum attendance of 75% in each course.
What happens if a student fails to meet the attendance requirement?,They become ineligible for the examination and receive an 'I' grade (Incomplete due to attendance < 75%).
Is condonation of absence allowed?,"Yes, up to 10% absence can be condoned with approval from the Vice Chancellor."
What do the attendance codes mean?,"H: 95% and above, 9: 85–94%, 8: 75–84%, L: Below 75%. | H: 95% and above; 9: 85–94%; 8: 75–84%; L: Below 75%. | H: 95% and above; 9: 85–94%; 8: 75–84%; L: Below 75%"
How is internal assessment weighted?,Internal assessment carries 50% weightage.
How much weightage is given to end-semester exams?,End-semester exams carry 50% weightage.
What components make up the internal assessment?,"CLA-1 (10%), CLA-2 (15%), CLA-3 (15%), and CLA-4 (10%) assessments."
What types of activities are included in CLA-4?,"Assignments, Surprise Tests, Tech Talks, Mini Projects, NPTEL/MOOC/Swayam Certifications, Quizzes, Group Activities."
What is the practical component ratio in combined courses?,Practical components account for 50% of combined courses.
What does practical evaluation include?,"Lab work, data analysis, and experiments."
What is the letter grade for marks between 91–100?,O Grade – Outstanding (10 points).
What is the letter grade for marks between 81–90?,A+ Grade – Excellent (9 points).
What is the minimum passing grade?,P Grade – Minimum pass requirement (4 points).
What is the SGPA calculation formula?,SGPA = Σ (Credit_i × GradePoint_i) / Total_Credits
How is CGPA calculated?,CGPA = Σ (Semester_Credits_i × SGPA_i) / Total_Semester_Credits | SGPA = Σ (Credit_i × GradePoint_i) / Total_Credits
What CGPA is required for First Class with Distinction in bachelor's programs?,CGPA ≥ 8.0 (no F/Ab/I grades) within 6 semesters.
